"id","symbol","return_2018","return_2019"
"1","MSFT",0.207952787212506,0.575581000034052
"2","AAPL",-0.0539017896473361,0.8895780106426
"3","AMZN",0.284316834331097,0.230277569910218
"4","FB",-0.25711214552995,0.565718256639507
"5","GOOG",-0.0103115813766457,0.2910458950432
"6","JNJ",-0.0513147555195463,0.162200323478878
"7","V",0.164875743361427,0.433270214517781
"8","JPM",-0.0662379124115525,0.472570396082084
"9","INTC",0.0422650562965257,0.307119770427561
"10","MA",0.25312898590971,0.591580120571697
"11","T",-0.222520218590787,0.455452619497848
"12","PFE",0.248189057265371,-0.0690791399436331
"13","MRK",0.399538635877947,0.222714375453334
"14","XOM",-0.150933038333785,0.0723286678134369
"15","DIS",0.036078176936077,0.33513502550622
"16","BAC",-0.149965676074106,0.461902075729332
"17","PEP",-0.0481286956296204,0.273759251943209
"18","WMT",-0.0795066329113925,0.307389102948864
"19","KO",0.0677348115413399,0.205994378452762
"20","CVX",-0.0974742678678793,0.152736656703739
"21","ADBE",0.291029437028377,0.457788148475333
"22","CMCSA",-0.127108101065081,0.340425707643607
"23","ABT",0.290618445444641,0.220801866153974
"24","BMY",-0.128957039307229,0.277381069650015
"25","AMGN",0.152330789809569,0.276010804853178
"26","MCD",0.00108785153055568,0.146846792899632
"27","COST",0.10599293860666,0.457006975471878
"28","LLY",0.404516175658559,0.161399517594564
"29","MDT",0.0964618080495356,0.281351993207174
"30","ABBV",-0.0239578729919806,0.0296446301181883
"31","ACN",-0.0622869028538511,0.512136069900926
"32","PM",-0.332961085819221,0.350213006843446
"33","ORCL",-0.0296957173345179,0.193432789851008
"34","UNP",0.0526212747002817,0.336998614209835
"35","NKE",0.198681795124534,0.380940613537248
"36","WFC",-0.277507690044757,0.227368740154101
"37","AMT",0.133232667616047,0.481873143736451
"38","AVGO",-0.0627253264941688,0.312452448930784
"39","TXN",-0.132942921621162,0.416701070083662
"40","DHR",0.118045086328158,0.49553816165664
"41","GILD",-0.0991987181035331,0.0788062749417728
"42","C",-0.284862789370376,0.578204041176649
"43","LIN",-0.0147280715224754,0.396964584190921
"44","LMT",-0.163458880306801,0.525466229608065
"45","QCOM",-0.0758879061805736,0.607641169904321
"46","MMM",-0.168991256362853,-0.0429080506830019
"47","SBUX",0.147360600991471,0.390852552395248
"48","LOW",0.0121676766217513,0.322343759683032
"49","CHTR",-0.151773995017163,0.702214216576432
"50","FIS",0.0747102593138596,0.375501441443273
"51","MO",-0.369414767152233,0.108369882594516
"52","BA",0.115016547935106,0.0333823141689236
"53","SPGI",-0.00894477009249484,0.626413286495646
"54","INTU",0.258583890162235,0.34113500551733
"55","CI",-0.0646304987108753,0.0769795029091427
"56","ANTM",0.181099271683358,0.163347953911255
"57","VRTX",0.105765420353894,0.321284097224134
"58","NOW",0.365518861611465,0.585622028885897
"59","CCI",0.0175251074647285,0.354508888261878
"60","PLD",-0.0624840737926067,0.55865678851375
"61","UPS",-0.15476013352956,0.242363646199058
"62","ADP",0.142547880506497,0.32707715028955
"63","D",-0.0759124235444762,0.214980799078046
"64","AGN",-0.168753624654718,0.458150288128786
"65","AMD",0.795719747081712,1.48429054627793
"66","ZTS",0.194473316950596,0.55708956883948
"67","DUK",0.0741459865235756,0.102869274783064
"68","CAT",-0.175581055057039,0.195136149016923
"69","CL",-0.191914386276598,0.185960582478599
"70","BKNG",-0.00881601740660876,0.192351416923014
"71","FISV",0.120872351990472,0.573411350480646
"72","AXP",-0.0262014823498002,0.325173614853696
"73","TJX",0.204538838336345,0.387566355997962
"74","SO",-0.0375194221639757,0.516528331930917
"75","SYK",0.0243492412941051,0.353287826179334
"76","TGT",0.0467052627286793,1.00172791354949
"77","GS",-0.335252483385054,0.404789999178146
"78","GE",-0.568352819475617,0.540895448034682
"79","BIIB",-0.0554038158400768,-0.0139239725474822
"80","ATVI",-0.260737794763262,0.286178259131648
"81","HUM",0.162723345369715,0.289365402601474
"82","BSX",0.425574771053862,0.279569920769666
"83","CSX",0.14467224480282,0.180570334021313
"84","APD",0.0026062340663775,0.500174768980417
"85","MU",-0.228356012362743,0.694925906082572
"86","USB",-0.123606438633994,0.336222050750219
"87","GPN",0.026316391187478,0.774529845087411
"88","ECL",0.110709482850607,0.322648053705619
"89","TFC",-0.102404503008791,0.345516888706193
"90","KMB",-0.0205920943346489,0.245746007372108
"91","ITW",-0.221033837157889,0.456032732378734
"92","ILMN",0.372740107722548,0.10605807269165
"93","BAX",0.00496926059667802,0.287229724100591
"94","PGR",0.0939426931192011,0.251350677654373
"95","COP",0.156288604047844,0.0662926540444011
"96","AMAT",-0.349219982735253,0.898551508742745
"97","NSC",0.0522038089470078,0.32388503504489
"98","SHW",-0.05175432527122,0.500802380461854
"99","REGN",-0.00654322549975805,0.00530123427041507
"100","EW",0.35897435328697,0.523078906092302
"101","DE",-0.0289581408797174,0.182954857892389
"102","AON",0.0994441284773424,0.44675149110495
"103","AEP",0.0538435560245889,0.305194867407565
"104","SCHW",-0.182257161191103,0.163769340126858
"105","MCO",-0.0410318672873407,0.712600330979049
"106","ADSK",0.226843446974274,0.426483209497837
"107","EL",0.0337580005058891,0.603441515717994
"108","ADI",-0.0163913818509249,0.413095000839858
"109","GIS",-0.315701744741743,0.431281303532987
"110","ROP",0.0351490570378679,0.33663273786072
"111","SRE",0.0448865676986505,0.440062946488982
"112","EXC",0.183284971966334,0.0427552695268147
"113","EA",-0.248905335025801,0.362438177040265
"114","LRCX",-0.244008067602761,1.19333472459082
"115","TMUS",0.00157460247440078,0.232824976688807
